"date","close","volume","open","high","low"
"2018/04/05","105.4400","468260.0000","105.4700","106.1000","105.1000"
"2018/04/04","104.4700","690339.0000","102.3700","104.7500","102.3300"
"2018/04/03","103.6700","1043509.0000","103.8900","104.1600","102.6900"
"2018/04/02","103.2900","452366.0000","105.0800","105.1800","102.4200"
"2018/03/29","105.1600","670084.0000","104.7300","105.8400","104.2550"
"2018/03/28","103.9800","1044167.0000","103.9500","105.2000","103.5400"
"2018/03/27","103.0300","815319.0000","104.9000","105.3400","102.4200"
"2018/03/26","104.8300","627496.0000","104.7100","105.1200","102.7500"
"2018/03/23","102.4800","801053.0000","104.2600","104.4500","102.4100"
"2018/03/22","103.9400","929749.0000","104.7200","105.4100","103.8700"
"2018/03/21","105.1000","693945.0000","104.8000","105.8458","104.7300"
"2018/03/20","104.9000","877957.0000","104.1000","105.2000","104.1000"
"2018/03/19","106.2400","485646.0000","106.1600","106.2600","105.2442"
"2018/03/16","107.5200","578378.0000","107.4800","108.2500","107.2900"
"2018/03/15","108.4900","819519.0000","108.3000","109.0000","108.0500"
"2018/03/14","108.0800","492810.0000","108.6000","108.6500","107.4000"
"2018/03/13","107.6200","730916.0000","109.4800","109.5300","107.4000"
"2018/03/12","108.9800","717852.0000","108.8100","109.2600","108.2300"
"2018/03/09","109.1200","876450.0000","108.4100","109.2000","108.2700"
"2018/03/08","108.3400","1154126.0000","108.4600","108.8800","108.0800"
"2018/03/07","107.9100","1356902.0000","107.4000","107.9400","106.8600"
"2018/03/06","105.0800","656556.0000","105.1200","105.3300","104.7000"
"2018/03/05","104.6000","1019255.0000","103.0200","104.7700","102.9800"
"2018/03/02","102.7100","795845.0000","101.7000","102.8500","101.0800"
"2018/03/01","102.0000","1966757.0000","102.8200","103.0500","101.1500"
"2018/02/28","104.5000","943686.0000","105.1200","105.6911","104.4400"
"2018/02/27","104.0700","990867.0000","105.4500","105.7900","104.0700"
"2018/02/26","105.3100","1813461.0000","104.3100","105.3600","103.7100"
"2018/02/23","104.9000","1388141.0000","103.9600","104.9600","103.7900"
"2018/02/22","104.1400","1183141.0000","103.4300","104.6100","102.9450"
"2018/02/21","103.2500","1195818.0000","104.1300","104.7519","103.2000"
"2018/02/20","104.2300","1600016.0000","103.9900","104.9300","103.8400"
"2018/02/16","104.9000","547782.0000","104.6100","105.5800","104.5500"
"2018/02/15","105.5600","1204256.0000","105.3400","105.6600","104.0000"
